timestamp_utc,fx_usd_idr,target_usd,overall,SPY_price,SPY_score,NVDA_price,NVDA_score,AMZN_price,AMZN_score,META_price,META_score
2026-07-04T11:02:34Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T12:03:37Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T13:06:42Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T14:01:36Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T15:02:21Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T16:03:46Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T17:02:48Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T18:02:10Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T19:03:21Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T20:01:26Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T21:03:51Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T22:02:09Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-04T23:03:22Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T00:01:31Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T01:04:40Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T02:03:01Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T03:07:11Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T04:04:17Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T05:01:52Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T06:02:08Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T07:04:25Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T08:03:19Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T09:03:14Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T10:04:05Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T11:04:16Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T12:03:29Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T13:03:04Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T14:03:30Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T15:02:25Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T16:03:59Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T17:02:32Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T18:04:14Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T19:05:11Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T20:07:32Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T21:02:49Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T22:03:09Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-05T23:03:48Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T00:04:07Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T01:03:28Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T02:03:56Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T03:05:00Z,17955.00,55694.79,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T04:05:49Z,17990.00,55586.44,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T05:04:44Z,17992.00,55580.26,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T06:04:28Z,17992.00,55580.26,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T07:04:15Z,17992.00,55580.26,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T08:03:39Z,17995.00,55570.99,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T09:03:26Z,17985.00,55601.89,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T10:04:15Z,17985.00,55601.89,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T11:03:49Z,17985.00,55601.89,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T12:03:20Z,17985.00,55601.89,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T13:02:25Z,17985.00,55601.89,72.3,744.78,49.2,194.83,85.0,242.67,76.8,582.90,78.2
2026-07-06T14:02:29Z,17994.00,55574.08,71.8,748.89,48.0,196.32,84.5,242.32,76.9,585.74,78.0
2026-07-06T15:07:41Z,17994.00,55574.08,71.5,750.21,47.6,195.97,84.6,243.65,76.3,589.11,77.7
2026-07-06T16:03:02Z,17994.00,55574.08,71.2,750.70,47.4,196.40,84.5,245.69,75.4,592.15,77.4
2026-07-06T17:04:24Z,17994.00,55574.08,71.2,750.92,47.3,196.62,84.4,244.88,75.8,592.84,77.3
2026-07-06T18:04:57Z,17994.00,55574.08,71.2,750.70,47.4,195.96,84.6,244.99,75.7,594.00,77.2
2026-07-06T19:04:35Z,17994.00,55574.08,70.9,751.83,47.0,196.56,84.4,245.34,75.6,600.62,76.6
2026-07-06T20:03:20Z,17994.00,55574.08,71.2,751.26,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-06T21:03:08Z,17994.00,55574.08,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-06T22:04:59Z,17994.00,55574.08,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-06T23:04:41Z,17994.00,55574.08,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T00:03:45Z,17994.00,55574.08,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T01:02:53Z,17994.00,55574.08,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T02:04:34Z,17994.00,55574.08,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T03:04:40Z,17994.00,55574.08,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T04:03:46Z,17985.00,55601.89,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T05:02:41Z,17982.00,55611.17,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T06:03:19Z,17980.00,55617.35,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T07:04:07Z,17985.00,55601.89,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T08:03:32Z,17975.00,55632.82,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T09:04:59Z,17975.00,55632.82,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T10:05:25Z,17975.00,55632.82,71.2,751.28,47.2,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T11:02:23Z,17975.00,55632.82,71.1,751.28,47.0,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T12:02:33Z,17975.00,55632.82,71.1,751.28,47.0,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T13:03:04Z,17975.00,55632.82,71.1,751.28,47.0,195.55,84.7,244.16,76.1,600.29,76.7
2026-07-07T14:05:49Z,17983.00,55608.07,71.0,748.54,48.2,193.38,85.3,246.73,74.9,612.71,75.6
2026-07-07T15:03:15Z,17983.00,55608.07,71.6,746.27,48.8,192.68,85.5,244.30,76.0,605.98,76.2
2026-07-07T16:03:07Z,17983.00,55608.07,71.4,747.68,48.4,195.29,84.8,243.92,76.2,604.87,76.3
2026-07-07T17:03:38Z,17983.00,55608.07,70.9,748.89,48.0,197.68,84.0,245.70,75.4,607.00,76.1
2026-07-07T18:04:54Z,17970.00,55648.30,70.6,749.09,47.9,197.56,84.0,246.67,75.0,614.69,75.5
2026-07-07T19:02:21Z,17983.00,55608.07,70.9,747.17,48.6,196.49,84.4,245.74,75.4,619.62,75.2
2026-07-07T20:02:21Z,17983.00,55608.07,70.8,747.62,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-07T21:04:13Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-07T22:02:36Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-07T23:02:43Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T00:04:05Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T01:02:58Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T02:04:14Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T03:04:07Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T04:03:34Z,17996.00,55567.90,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T05:03:13Z,18002.00,55549.38,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T06:02:35Z,18005.00,55540.13,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T07:03:48Z,18005.00,55540.13,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T08:06:07Z,17990.00,55586.44,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T09:10:56Z,17990.00,55586.44,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T10:04:40Z,17990.00,55586.44,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T11:04:04Z,17990.00,55586.44,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T12:05:08Z,17990.00,55586.44,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T13:03:14Z,17983.00,55608.07,70.8,747.71,48.4,196.93,84.2,245.98,75.3,615.58,75.5
2026-07-08T14:04:31Z,18000.00,55555.56,71.7,743.89,49.6,197.31,84.1,242.53,76.8,605.41,76.4
2026-07-08T15:13:36Z,18000.00,55555.56,72.0,741.44,50.3,197.51,84.0,241.63,77.2,602.53,76.6
2026-07-08T16:04:23Z,18000.00,55555.56,72.1,741.06,50.4,197.64,84.0,241.05,77.4,603.58,76.5
